,0,1,2,3
0,@jacob_abboud,2023-03-07 12:52:51+00:00,https://twitter.com/jacob_abboud/status/1633088319708905473,Starling on scalability and being cut from the cloud https://t.co/dP76F2PrdW via @Finextra
1,@jacob_abboud,2023-03-02 11:16:51+00:00,https://twitter.com/jacob_abboud/status/1631252220074139649,"https://t.co/Kk6EFNc1Mk

Hackers have also been able to access current and former employee information."
2,@jacob_abboud,2023-03-01 10:13:57+00:00,https://twitter.com/jacob_abboud/status/1630874004629094400,#insurtechinsights 2023 kicks off today. I will be moderating an interesting session tomorrow https://t.co/eZF29s4g1x
3,@jacob_abboud,2023-02-17 07:24:19+00:00,https://twitter.com/jacob_abboud/status/1626482661626724354,https://t.co/LUXeJqZsWl
4,@jacob_abboud,2023-02-08 16:47:15+00:00,https://twitter.com/jacob_abboud/status/1623362838038212608,"A turning point for Bing? Microsoft unveils new Bing with ChatGPT powers
https://t.co/IDLiBM2ZYW"
5,@jacob_abboud,2023-02-04 20:17:21+00:00,https://twitter.com/jacob_abboud/status/1621966159841992706,https://t.co/9XmqxHqdXv
6,@jacob_abboud,2023-02-02 23:17:01+00:00,https://twitter.com/jacob_abboud/status/1621286596786929665,City will be shaken up by AI – so we asked ChatGPT for an equities strategy https://t.co/GPm6wAxMno
7,@jacob_abboud,2023-02-02 11:55:06+00:00,https://twitter.com/jacob_abboud/status/1621114985714946050,I would change the order to have the 'customer experience' as the first point' - great slide !
8,@jacob_abboud,2023-02-02 11:53:10+00:00,https://twitter.com/jacob_abboud/status/1621114501784535041,JPMorgan preps German digital retail bank https://t.co/X8YLhLySrq via @Finextra
9,@jacob_abboud,2023-02-02 11:20:50+00:00,https://twitter.com/jacob_abboud/status/1621106362767007746,"ChatGPT firm trials $20 monthly subscription fee.
https://t.co/13v9WZ2LNp"
10,@jacob_abboud,2023-01-30 12:37:42+00:00,https://twitter.com/jacob_abboud/status/1620038543400931328,"Another high profile cyber breach: JD Sports says 10 million customers hit by cyber attack.
https://t.co/hmzkbTZ5GS"
11,@jacob_abboud,2023-01-29 19:58:06+00:00,https://twitter.com/jacob_abboud/status/1619786985975201792,https://t.co/n6XH9CZK32
12,@jacob_abboud,2023-01-26 15:34:53+00:00,https://twitter.com/jacob_abboud/status/1618633582758744064,"Capital One lays off 1,100 tech staff https://t.co/wZMOZt4lG7"
13,@jacob_abboud,2023-01-24 14:27:26+00:00,https://twitter.com/jacob_abboud/status/1617891834419871745,"ChatGPT: Microsoft to invest billions in chatbot maker OpenAI.  This is one of many AI apps emerging 
https://t.co/RYcwQa9cgQ"
14,@jacob_abboud,2023-01-22 14:35:51+00:00,https://twitter.com/jacob_abboud/status/1617169173779517441,"Google parent Alphabet to cut 12,000 jobs.  The Elon phenomenon propagates..
https://t.co/yCosZSlqU0"
15,@jacob_abboud,2023-01-18 14:50:01+00:00,https://twitter.com/jacob_abboud/status/1615723187727372288,"AI image creator faces UK and US legal challenges. What else could fall within this category? e.g. chatGPT and many emerging ai-bases Apps/websites 
https://t.co/czkYNWtV7l"
16,@jacob_abboud,2023-01-11 17:32:27+00:00,https://twitter.com/jacob_abboud/status/1613227349457178632,"BBC News - UK Treasury considers plan for digital pound 
https://t.co/AZE0JPh0xt"
17,@jacob_abboud,2022-10-29 11:07:27+00:00,https://twitter.com/jacob_abboud/status/1586313761278742529,Great bit of analysis @EdConwaySky https://t.co/sWKkBHVFSr
18,@jacob_abboud,2022-10-25 05:19:24+00:00,https://twitter.com/jacob_abboud/status/1584776619742597120,@nigelwalsh is this going to be the nextgen of virtual assistant? many already exist...
19,@jacob_abboud,2022-10-09 08:30:58+00:00,https://twitter.com/jacob_abboud/status/1579026622610481154,https://t.co/tYXRGzXSaB
20,@jacob_abboud,2022-09-23 08:03:10+00:00,https://twitter.com/jacob_abboud/status/1573221420926406656,"Recall or a Software Update? - Tesla ordered to recall more than a million US cars
https://t.co/RbdaWnURuq"
21,@jacob_abboud,2022-09-10 19:20:02+00:00,https://twitter.com/jacob_abboud/status/1568680718439432199,"Informative article, thanks Paul https://t.co/ljREDjRvT6"
22,@jacob_abboud,2022-09-02 15:25:26+00:00,https://twitter.com/jacob_abboud/status/1565722574297960450,Tesla owners go on HUNGER STRIKE in Norway in protest over faults https://t.co/zI5XoJgv6N via @MailOnline
23,@jacob_abboud,2022-08-18 14:20:50+00:00,https://twitter.com/jacob_abboud/status/1560270499795546116,Looking forward to the Insurance Innovators Webinar: Insurance Claims in the age of Innovation. Register now &amp; join me this September! https://t.co/HjCnwTf1z3
24,@jacob_abboud,2022-08-16 12:15:28+00:00,https://twitter.com/jacob_abboud/status/1559514174610341888,US P&amp;C market headed for underwriting loss as auto spins out of contro https://t.co/Iq1VvwZccp
25,@jacob_abboud,2022-08-08 07:39:18+00:00,https://twitter.com/jacob_abboud/status/1556545574840713217,https://t.co/IbjGugZRnQ
26,@jacob_abboud,2022-08-08 07:11:13+00:00,https://twitter.com/jacob_abboud/status/1556538505974747136,"@nigelwalsh Incredible, was his name Jonah?"
27,@jacob_abboud,2022-08-04 09:46:34+00:00,https://twitter.com/jacob_abboud/status/1555128050026700800,1-in-5 Young Adults Would Consider Fraud: https://t.co/PTYKsPPFaS
28,@jacob_abboud,2022-07-21 07:31:42+00:00,https://twitter.com/jacob_abboud/status/1550020678249861120,"https://t.co/oqIVTMJoT9

The average value of a fraudulent home insurance claim is £8,800, according to Zurich UK."
29,@jacob_abboud,2022-07-16 22:01:33+00:00,https://twitter.com/jacob_abboud/status/1548427643137077248,Open banking is changing the face of personal finance https://t.co/6eFkDmzh3L
30,@jacob_abboud,2022-07-11 20:21:42+00:00,https://twitter.com/jacob_abboud/status/1546590575650082818,brilliant but not surprising !
31,@jacob_abboud,2022-07-07 07:00:44+00:00,https://twitter.com/jacob_abboud/status/1544939456045760512,Interesting list...
32,@jacob_abboud,2022-07-05 09:19:51+00:00,https://twitter.com/jacob_abboud/status/1544249687900839937,Interesting paper from @AltusLtd on Lloyd’s Future with comments from Matt Carter about Transformation that resonate. #lloydsoflondon @InsEdgeOnline https://t.co/EBU1K8qhv3
33,@jacob_abboud,2022-07-04 06:53:34+00:00,https://twitter.com/jacob_abboud/status/1543850489321750530,https://t.co/HwywLKlKLZ
34,@jacob_abboud,2022-07-02 07:01:45+00:00,https://twitter.com/jacob_abboud/status/1543127772842921985,https://t.co/pd0TKvV97v
