,name,account
0,Amy Webb,@amywebb
1,Kai-Fu Lee,@kaifulee
2,Elon Musk,@elonmusk
3,Bill Gates,@BillGates
4,Jeff Bezos,@JeffBezos
5,Tim Cook,@tim_cook
6,Sundar Pichai,@sundarpichai
7,Mark Benioff,@Benioff
8,Stewart Butterfield,@stewart
9,Reed Hastings,@reedhastings
10,Mike Bloomberg,@MikeBloomberg
11,Thomas Kurian,@ThomasOrTK
12,Satya Nadella,@satyanadella
13,marina gorbis on mastodon,@mgorbis
14,Dr,@michiokaku
15,Neil deGrasse Tyson,@neiltyson
16,Ian Khan Futurist,@IanKhanFuturist
17,Estelle Metayer,@Competia
18,Henry Mintzberg,@Mintzberg141
19,Bryan Palma,@BryanJPalma
20,Daniel Burrus,@DanielBurrus
21,Marc R Gagné,@OttLegalRebels
22,David Brin,@DavidBrin
23,Eva Appelbaum,@evaapp
24,Maribel Lopez,@MaribelLopez
25,Michael Krigsman,@mkrigsman
26,Marc Andreessen Marc Andreessen,
27,Martha Heller,@marthaheller
28,Chris Curran,@cbcurran
29,Isaac Sacolick,@nyike
30,Bertrand Duperrin,@bduperrin
31,Andrew McAfee,@amcafee
32,Nigel Fenwick,@NigelFenwick
33,Tim Minahan,@tminahan
34,Tim Grieveson,@timgrieveson
35,Thomas Winter,@WinterForMT
36,Charlene Li,@charleneli
37,Christian McMahon,@ChristianMcM
38,Kara Swisher,@karaswisher
39,Chuck Robbins,@ChuckRobbins
40,Andy Jassy,@ajassy
41,Megan Smith,@smithmegan
42,Hans Vestberg,@HansVestberg
43,David Cohen,@davidcohen
44,Emily Chang,@emilychangtv
45,Molly Wood,@mollywood
46,Andrew Ng,@AndrewYNg
47,Reshma Saujani,@reshmasaujani
48,David Heinemeier Hansen,@DHH
49,Mary Barra,@mtbarra
50,Chris Wright,@kernelcdub
51,Hilary Mason,@hmason
52,Natalie Panek,@nmpanek
53,Amber Osborne,@MissDestructo
54,Diana Trujullo,@FromCaliToMars
55,Benedict Evans,@benedictevans
56,David Ulevitch,@davidu
57,Randy Bias,@randybias
58,Neville Ray,@NevilleRay
59,Jeff Reed,@jeffreed415
60,Christopher Mims,@mims
