,0,1,2,3
0,ajitjaokar,2023-02-10 23:10:54+00:00,https://twitter.com/AjitJaokar/status/1624184159244541955,https://t.co/YnTHbZyS3E
1,ajitjaokar,2023-02-02 22:43:38+00:00,https://twitter.com/AjitJaokar/status/1621278196216782848,https://t.co/M6UqgeCoVp
2,ajitjaokar,2023-01-29 16:20:46+00:00,https://twitter.com/AjitJaokar/status/1619732293123461121,@priyascape :) great to meet you @priyascape indeed a long time ago!
3,ajitjaokar,2023-01-25 13:56:00+00:00,https://twitter.com/AjitJaokar/status/1618246310578229248,"Poor experience at    @McDonaldsUK  Oxford Street 
25 minute wait!
a flawed system
attitude seems to be to get as many orders as you can, and then people cannot escape
If I knew how long when I placed order
I would not wait
poor experience, which could easily be fixed"
4,ajitjaokar,2023-01-24 09:00:51+00:00,https://twitter.com/AjitJaokar/status/1617809645984428032,https://t.co/KaIaiy8Skv
5,ajitjaokar,2023-01-10 22:27:12+00:00,https://twitter.com/AjitJaokar/status/1612939138495283202,https://t.co/YapR6tEXSR
6,ajitjaokar,2022-12-27 18:38:40+00:00,https://twitter.com/AjitJaokar/status/1607808197070315520,"@SpotifyCares  is one of the few services that takes away good features and replaces by things I dont need. 1) favourites by year - gone. 
2) Ability to sort your playlist by artist - also gone. 

Missing how customers use their products. kills discovery and usage."
7,ajitjaokar,2022-12-26 21:10:35+00:00,https://twitter.com/AjitJaokar/status/1607484040399003648,"@figma 
Do you know of any examples where a product like @figma  mindmap is used as an interface ie the user logs in and sees a mindmap as the first thing?"
8,ajitjaokar,2022-12-22 13:19:41+00:00,https://twitter.com/AjitJaokar/status/1605915982387478528,"@berlinairport 
Incredible 
Motorway to airport  blocked
No reason or explanation 
Stalled for 10 mins https://t.co/zkt8GaTabH"
9,ajitjaokar,2022-12-21 23:49:35+00:00,https://twitter.com/AjitJaokar/status/1605712116433944576,https://t.co/Ju6J94M92N
10,ajitjaokar,2022-12-12 08:44:31+00:00,https://twitter.com/AjitJaokar/status/1602222858134081536,@TfL  mo announcements at all except canned health and safety ironically. https://t.co/PwZ8wB1LnP
11,ajitjaokar,2022-12-12 08:33:34+00:00,https://twitter.com/AjitJaokar/status/1602220102203674624,@TfL  announcer at #baronsCourt Station making a number of irrelevant announcements on health and safety while no district line 10 mins and no announcement. Older people and kids on station in cold weather.
12,ajitjaokar,2022-12-05 23:09:45+00:00,https://twitter.com/AjitJaokar/status/1599903883312001026,https://t.co/GnPNE5poiK #ChatGPT
13,ajitjaokar,2022-11-22 22:25:51+00:00,https://twitter.com/AjitJaokar/status/1595181793883422722,https://t.co/6gCQta8RKw
14,ajitjaokar,2022-11-09 18:10:20+00:00,https://twitter.com/AjitJaokar/status/1590406450354225153,https://t.co/WfvE2nDmQc
