,0,1,2,3
0,cshirky,2022-12-31 22:45:26+00:00,https://twitter.com/cshirky/status/1609319849137737731,See you in the New Year at @cshirky@geekdom.social
1,cshirky,2022-12-31 22:45:03+00:00,https://twitter.com/cshirky/status/1609319751687307264,"I’ve been part of a lot of things that have died — usenet, MUDs, so many mailing lists — but this is the only one I’ve been on that was murdered while it was healthy."
2,cshirky,2022-12-31 22:44:13+00:00,https://twitter.com/cshirky/status/1609319544962813953,"He never had a plan for making Twitter better for anyone but people like him and people who like him. 

But he would still prefer to destroy the version of Twitter that didn’t worship people like him than let it continue to be its old, messy, cosmopolitan self."
3,cshirky,2022-12-31 22:43:40+00:00,https://twitter.com/cshirky/status/1609319403522490369,"But poetic justice is the only kind we’re going to get, because as he destroys this place so many of us have loved, he'll still have won in the end."
4,cshirky,2022-12-31 22:42:59+00:00,https://twitter.com/cshirky/status/1609319230888939521,"There is some poetic justice watching @elonmusk fuck up on here.

He’s turned Tesla’s brand from ‘cool *and* sustainable’ to ‘self-driving MAGA hat’ and shown investors he’s reckless enough to incinerate billions of their dollars to pwn a chat client where his feelings got hurt."
5,cshirky,2022-12-31 22:41:31+00:00,https://twitter.com/cshirky/status/1609318862889144323,"Musk isn’t inviting racists and Nazis back on Twitter because of any desire to 'match the law'. 

He’s doing those things because he approves of racists and Nazis, and sexists and transphobes."
6,cshirky,2022-12-31 22:39:10+00:00,https://twitter.com/cshirky/status/1609318274541535236,"Because @elonmusk is the owner of a privately-held platform, he can craft the speech rules he wants. 

And because he is a petulant narcissist, what he wants is a platform safe for him and other awful white guys, like the whole internet used to be."
7,cshirky,2022-12-31 22:38:18+00:00,https://twitter.com/cshirky/status/1609318055825342464,"Musk was always ambivalent about owning Twitter — he threatened acquisition, then tried to bullshit his way out of it, only to run into a court system that wasn’t impressed with his whining. So now he owns it."
8,cshirky,2022-12-31 22:37:52+00:00,https://twitter.com/cshirky/status/1609317946178023424,"Now that a few places are slightly less deferential to white men, and slightly less hostile to everyone else, millions of those men are losing their minds. When you’re used to privilege, equality feels like oppression. 

Musk, uniquely, was rich enough to do something about it"
9,cshirky,2022-12-31 22:36:52+00:00,https://twitter.com/cshirky/status/1609317694544773122,"And @elonmusk has extreme ‘free speech for elites’ pathology. He was 23 when Mandela was elected; he grew up in a country where non-white voices were legally silenced. And he has years of experience of his weird stans taking a bullet for his dumbest ideas

https://t.co/2Y9j2ha9Dz"
10,cshirky,2022-12-31 22:34:51+00:00,https://twitter.com/cshirky/status/1609317187428261889,"White men have so much cultural power that for us, the First Amendment *feels* like it should let us say anything to anyone we want to.

Everyone else knows what it's like to have their voices matter less, and knows how much speech is silenced in spaces where abuse is allowed."
11,cshirky,2022-12-31 22:33:36+00:00,https://twitter.com/cshirky/status/1609316873291681793,"The belief that the First Amendment ensures freedom to harangue others in private spaces is mainly held by white men. 

We’re so accustomed to deference, in all arenas of American society, it’s easy to believe that *not* deferring to us should be illegal, maybe unconstitutional."
12,cshirky,2022-12-31 22:32:40+00:00,https://twitter.com/cshirky/status/1609316635009060867,"The Twitter of 2021 was not in violation of ‘what the law allows’. Nor was the Twitter of 2016, nor the Twitter of 2009. 

That’s why no one who’s ever whined “But muh free speech tho!” points to specific laws the service violated. Because there are none."
13,cshirky,2022-12-31 22:32:10+00:00,https://twitter.com/cshirky/status/1609316510018801665,"The First Amendment means a church, a bar, a board room, and a social network can have different norms. 

The government can’t /ban/ most speech in those spaces, but it’s the owners who decide whether using the N-word or insulting trans people is allowed or forbidden."
14,cshirky,2022-12-31 22:31:30+00:00,https://twitter.com/cshirky/status/1609316343731597312,"A platform that did not ""match the law"" would, by definition, be doing something illegal, and someone could sue. 

No one does, because private actors setting their own norms *is not a violation of free speech*. 

It’s how free speech works."
15,cshirky,2022-12-31 22:30:38+00:00,https://twitter.com/cshirky/status/1609316124981710851,"If your publication is pro-Putin, you do not have to publish op-eds against the war in Ukraine. If your religion venerates Jesus, you do not have to let Satanists preach. If your association approves of Likud, you do not have to let BDS supporters join."
16,cshirky,2022-12-31 22:30:13+00:00,https://twitter.com/cshirky/status/1609316018593095682,"In the U.S, the First Amendment is a negative liberty — freedom from interference. It gets the government out of policing most speech. 

It appears alongside freedoms of the press, religion, and association, and lets those groups invent their own rules."
