,0,1,2,3
0,jape,2023-02-13 23:52:12+00:00,https://twitter.com/jape/status/1625281719170478080,@AndreaSiodmok @RMIT Congratulations Andrea! UK brain drain continues!
1,jape,2023-01-27 20:01:14+00:00,https://twitter.com/jape/status/1619062998617976833,@theleoalexandru Disconnection from nature.
2,jape,2023-01-27 09:52:42+00:00,https://twitter.com/jape/status/1618909856634908672,"We live in a time where the speed of change is profound, and accelerating. This creates ""Possibility Dilation"", where all possibilities could arrive sooner. #SpeculativeDesign becomes an essential for organizations to understand and prepare for all potentials. #design #nkd https://t.co/oGr1ILpG3R"
3,jape,2023-01-11 16:02:20+00:00,https://twitter.com/jape/status/1613204673401614338,"The worst part of the current British story, is I can't see a way out. Status-quo protection on offer from the current government. And the lack of imagination on what the future could be, the failure to learn from peer nations, is shocking. #imagination #futures #alternatives"
4,jape,2023-01-11 16:02:19+00:00,https://twitter.com/jape/status/1613204670406606849,"The horrific breakdown of modern Britain over the past decade will be taught in schools as a total leadership, political, media, and ideological failure, and the effects on the British people will sadly be felt for decades to come. #breakdown #BrokenBritain #history"
5,jape,2023-01-11 16:02:19+00:00,https://twitter.com/jape/status/1613204667747418112,Hanging on to beliefs and failing to change our views in the face of new information is a devastating and fundamental judgement flaw. #adaptation #judgement
6,jape,2023-01-11 16:02:18+00:00,https://twitter.com/jape/status/1613204665314775041,Blunt intellectual honesty about today is so refreshing. It is a kindness to the future. #honesty #kindness
7,jape,2023-01-11 16:02:18+00:00,https://twitter.com/jape/status/1613204662496202755,Never let your optimism for the future get in the way of your acknowledgement of current state conditions. #optimism #groundtruth #currentstate
8,jape,2023-01-11 16:02:17+00:00,https://twitter.com/jape/status/1613204659262341121,Never let your beliefs get in the way of facts. #dogma #groundtruth
9,jape,2023-01-11 16:02:16+00:00,https://twitter.com/jape/status/1613204654925414401,"The inability of the current UK government to acknowledge ground truth on issues from climate change, to NHS collapse, to waste water disruption, to Brexit outcomes, etc. is just a catastrophic failure in leadership. @RishiSunak #BrokenBritain"
10,jape,2023-01-08 12:56:41+00:00,https://twitter.com/jape/status/1612070788957347840,"I spend a lot of time looking up. I love taking pictures of ceilings, tree canopies, clouds, the sky. Sunrise and sunset are particular favourites. I think it’s the sublime, it makes me feel small in an important and meaningful way. #sublime #sky #lookup https://t.co/8ZidfeH1Sc"
11,jape,2023-01-04 19:38:47+00:00,https://twitter.com/jape/status/1610722427876642816,@paulg +2° C Warming
12,jape,2022-12-30 22:03:49+00:00,https://twitter.com/jape/status/1608946987688415232,@darthjulian @fosta @fabiengirardin @nicolasnova @nearfuturelab Couldn't resist. 😂 Much love for all your work!
13,jape,2022-12-30 09:43:23+00:00,https://twitter.com/jape/status/1608760652910428165,"Just sitting down for breakfast and look what arrived in the mail! Congratulations to @darthjulian @fosta @fabiengirardin @nicolasnova @nearfuturelab It’s a fantastic read, and really meaningful addition to the practice. 🙏 https://t.co/YTetht5EA0"
14,jape,2022-12-29 22:19:18+00:00,https://twitter.com/jape/status/1608588496754688001,"@ansgarjohn @pmagn I think we have different definitions of context, and I suspect different motives."
15,jape,2022-12-29 19:30:18+00:00,https://twitter.com/jape/status/1608545967007240192,"@fosta I worry we are much further down the climate change destabilisation, ecosystem collapse path than we realize."
16,jape,2022-12-28 22:34:19+00:00,https://twitter.com/jape/status/1608229889601044480,@ansgarjohn @pmagn I don’t know what your point is.
17,jape,2022-12-28 21:42:09+00:00,https://twitter.com/jape/status/1608216762180419584,@ansgarjohn @pmagn https://t.co/Y3C6VloF5h
18,jape,2022-12-28 19:35:04+00:00,https://twitter.com/jape/status/1608184777558953986,@ansgarjohn @pmagn Why do you ask?
19,jape,2022-12-11 03:45:51+00:00,https://twitter.com/jape/status/1601785305421721601,@paulg I watched a fan edit of the film where Jar Jar speaks in his unintelligible native language and you have subtitles to understand him. It was fantastic! I suddenly really liked the character. I think the anti-cheese edit?
20,jape,2022-12-08 18:18:37+00:00,https://twitter.com/jape/status/1600917780257128448,"Every decision is a future decision. After working in Speculative Design for the past 14 years, I’m excited to launch this self-paced online course, to help people understand it’s theory and application to create meaningful impact in the world. https://t.co/u9YiS6oWu1"
