,0,1,2,3
0,mpesce,2023-02-15 21:00:45+00:00,https://twitter.com/mpesce/status/1625963344892170240,"NEW @nextbillionsecs ""The Next Billion Cars - Hydrogen Vehicles: Liquid Dreams"" With @SallydeMinx
on the future for hydrogen buses and trucks with H2X. @mpesce on working with ‘liquid’ hydrogen at -252º. @drewpasmith on Toyota's hydrogen implosion. https://t.co/aRyrsx9K0d"
1,mpesce,2023-02-12 22:44:56+00:00,https://twitter.com/mpesce/status/1624902402494316544,"@nextbillionsecs @liubinskas Have a listen to our latest episode ""The Next Billion Cars - Electric Vehicles: Looking for a Charge!"" to learn about the systemic changes we need to make to support as many EVs as we need...  with @SallydeMinx
and @drewpasmith

https://t.co/W483s4tRmH"
2,mpesce,2023-02-12 22:43:34+00:00,https://twitter.com/mpesce/status/1624902056753631232,"Researching for @nextbillionsecs series ""The Next Billion Cars"", @liubinskas and I drove an #EV from Sydney to the Hunter. No servo or service center charging along the way. At our destination, the charger _refused_ to charge our car -- because we weren't the right brand! Ugh. https://t.co/8EnVaqwHfA"
3,mpesce,2023-02-09 23:40:17+00:00,https://twitter.com/mpesce/status/1623829167384203264,"""Google &amp; Microsoft have decided that for their survival we users must be surrounded by synthetic B.S. artists, continually confusing fact &amp; fiction so subtly and so thoroughly that truth becomes lost in noise and nearly unknowable...""

latest @TheRegister https://t.co/YiP00yKc9V"
4,mpesce,2023-02-08 23:52:00+00:00,https://twitter.com/mpesce/status/1623469727308709890,Tech: Has Google headed off an existential AI threat? https://t.co/AnhcCl14IW
5,mpesce,2023-02-08 21:23:03+00:00,https://twitter.com/mpesce/status/1623432245532057600,"At the top of the hour I'll be on RNZ @ninetonoon talking about the existential threat posed to Google's search business - which generates 90% of all of the firm's revenues - posed by conversational, contextual AI systems like #ChatGPT.

And how Google looks to have lost. https://t.co/PbNXJqCLnH"
6,mpesce,2023-02-08 20:40:10+00:00,https://twitter.com/mpesce/status/1623421450542796800,"NEW EPISODE of @nextbillionsecs ""The Next Billion Cars - Electric Vehicles: Losing their Charge?"" It's difficult to buy an EV you want, and Australia's charging infrastructure remains on the drawing board. Big changes needed. W/ @SallydeMinx &amp; @drewpasmith https://t.co/W483s4tRmH"
7,mpesce,2023-02-08 19:54:00+00:00,https://twitter.com/mpesce/status/1623409832773488641,"""In an unedifying spectacle of we-got-here-before-you-no-you-didn't, the two giants of computing have lately been trying to undermine each other's efforts to launch 'conversational' search products..."" my latest in @TheRegister https://t.co/AaryL4ahsF"
8,mpesce,2023-02-08 08:32:09+00:00,https://twitter.com/mpesce/status/1623238239216865280,"My latest for @TheRegister, about the Dinosaur Sumo wrestling match now taking place between Microsoft and Google - and their rush toward conversational, contextual AI search..."
9,mpesce,2023-02-06 04:27:51+00:00,https://twitter.com/mpesce/status/1622451986514968576,"Last week @liubinskas and I got to drive up to the Hunter Valley in a brand-new EV. Of course we had to test the driver assistance features - that's the topic of this week's episode of ""The Next Billion Cars"".

It went well enough... 😬

New ep on Thursday - all about EVs! https://t.co/ZeyY2IZZgl"
10,mpesce,2023-02-06 03:59:45+00:00,https://twitter.com/mpesce/status/1622444912292802560,@Mikenicholls88 @CosmosMagazine @liubinskas You first. 🤣
11,mpesce,2023-02-05 01:38:37+00:00,https://twitter.com/mpesce/status/1622047008986112002,@KeanM @BiteTheDust Sadly all the apps were for 32 bit iOS which is no longer a thing
12,mpesce,2023-02-04 07:17:47+00:00,https://twitter.com/mpesce/status/1621769974099640320,@Moosk DMs open
13,mpesce,2023-02-01 19:40:19+00:00,https://twitter.com/mpesce/status/1620869675264675840,"NEW EPISODE - @nextbillionsecs returns with ""The Next Billion Cars - Autonomous Vehicles: Learning to Crawl"". With co-hosts @SallydeMinx &amp; @drewpasmith we wonder if we'll ever have anything beyond 'good enough' driver assistance. @Ken_Goldberg predicts! https://t.co/FQQbSzqcAW"
14,mpesce,2023-01-20 19:09:30+00:00,https://twitter.com/mpesce/status/1616513264325722112,"As text-based web search becomes more and more polluted (hello dark forest AI) increasingly unreliable (hello google), how will we navigate the immense wealth of human knowledge?

I have a few suggestions.

https://t.co/ulsXWZsymk"
15,mpesce,2023-01-19 19:53:19+00:00,https://twitter.com/mpesce/status/1616161905252651009,"""I recently interviewed someone who believed that the solution for autonomous vehicles – to get them to be something more than death robots on wheels – lay in millimeter-wave scans that record beneath the surface of every roadway.""

Me in @TheRegister https://t.co/snmrBOXVTh"
16,mpesce,2023-01-19 01:16:30+00:00,https://twitter.com/mpesce/status/1615880847172714497,"""Automated data collection amplifies the burden on the person filling out the form. What if a name can't be typed in Roman characters? Or a person doesn't identify with a gender? Forms force people into form, making us regular and computable."" @TheRegister https://t.co/iFs5vjW0WS"
17,mpesce,2023-01-18 20:34:53+00:00,https://twitter.com/mpesce/status/1615809978211930112,"My latest for @TheRegister, all about bureaucracy, the 'paperless office', Michel Foucault - and how large language models might free us from the drudgery of endless forms..."
18,mpesce,2022-12-18 22:34:05+00:00,https://twitter.com/mpesce/status/1604605950291501056,"As this place is falling apart at a rate of knots, if you hadn't worked it out by my handle -- if anyone wants to reach out to me, I'm at https://t.co/rrB2EK7bTP

on the #Mastodon 

Mastodon.
Mastodon.
Mastodon."
19,mpesce,2022-12-15 21:20:47+00:00,https://twitter.com/mpesce/status/1603500341978595328,"""...ran an analysis in a tool showing how information spreads on Twitter by looking at both keyword frequency &amp; interactions between individual accounts. The results hint at Musk’s new role in this network: as effectively a hall monitor for the far right""

https://t.co/py5qJWIM6J"
20,mpesce,2022-12-14 08:34:55+00:00,https://twitter.com/mpesce/status/1602945218168647680,"My latest for @TheRegister, about the abject failure of voice assistants to actually, you know, assist us..."
21,mpesce,2022-12-12 23:26:26+00:00,https://twitter.com/mpesce/status/1602444796312055808,"A test:

Mastodon, mastodon, mastodon, mastodon, @mpesce@arvr.social, mastodon, mastodon, censorship, algorithm, mastodon, glass jaw, mastodon, mastodon, mastodon

https://t.co/rrB2EK7bTP"
22,mpesce,2022-12-09 05:05:06+00:00,https://twitter.com/mpesce/status/1601080474478473216,"My latest for @CosmosMagazine is an exploration - on my sixtieth birthday - of life, culture and the future during 'The Final Third'...

https://t.co/zo6E0rcrq5"
23,mpesce,2022-12-07 21:38:15+00:00,https://twitter.com/mpesce/status/1600605632721080320,If you wonder what we’ve been up to at @V20_summit  - all is explained in this wonderful chat with @markjeffrey
