,0,1,2,3
0,novaspivack,2022-12-21 14:17:51+00:00,https://twitter.com/novaspivack/status/1605568231313272832,Elon is a great asset to humanity - in the right lanes. His primary contributions are SpaceX and Tesla. Twitter is a distraction from his mission and not a great use of his talent. I hope he realizes this and hands of Twitter to someone else so he can get us to Mars. @elonmusk
1,novaspivack,2022-12-19 17:07:54+00:00,https://twitter.com/novaspivack/status/1604886250795802624,Who is the front runner in Twitter’s CEO search?
2,novaspivack,2022-12-19 12:11:51+00:00,https://twitter.com/novaspivack/status/1604811749395423235,@RepRoKhanna Totally agree with this!!!
3,novaspivack,2022-12-19 01:31:23+00:00,https://twitter.com/novaspivack/status/1604650569561387008,Who should be the next Twitter CEO?
4,novaspivack,2022-12-19 01:02:29+00:00,https://twitter.com/novaspivack/status/1604643295103258626,Should the next Twitter CEO roll back Twitter to its pre-Elon database?
5,novaspivack,2022-12-18 08:55:36+00:00,https://twitter.com/novaspivack/status/1604399972484452353,Twitter has become a tabloid and my feed is filled with people who I don’t follow making crazy false statements about each other.
6,novaspivack,2022-12-17 23:57:31+00:00,https://twitter.com/novaspivack/status/1604264561284087808,@DavidSacks These polls are an amateur joke! Are you sure you aren’t just measuring the self-selecting opinions of your biased follower set? Hello statistic anyone? How can anyone intelligent take this seriously????
7,novaspivack,2022-12-17 15:14:54+00:00,https://twitter.com/novaspivack/status/1604133040816537604,Do Twitter polls allow enough characters (presently 25 character limit)?
8,novaspivack,2022-12-17 14:40:13+00:00,https://twitter.com/novaspivack/status/1604124310448132096,This is how to ask the question @DavidSacks
9,novaspivack,2022-12-17 14:35:27+00:00,https://twitter.com/novaspivack/status/1604123109967204355,@DavidSacks This is a flawed question. What is real time doxxing exactly?
10,novaspivack,2022-12-16 16:07:58+00:00,https://twitter.com/novaspivack/status/1603784004141998084,@elonmusk was I really shadowbanned for sharing the real-time location of your Tesla in space?
11,novaspivack,2022-12-16 14:50:59+00:00,https://twitter.com/novaspivack/status/1603764633629868032,I think the real issue @elonmusk is that impulsive and self-contradictory midnight policies that then have to be walked back a day later are suboptimal ways to manage a global town square. Perhaps it might be wiser to be more measured? You are better than this.
