,0,1,2,3
0,rushkoff,2023-02-15 16:41:10+00:00,https://twitter.com/rushkoff/status/1625898022562410511,"What do mushrooms and the blockchain have in common? With any luck, more than you might think. Indeed, mycopunk rules! Hear @jeffemmett on imagining mycelial futures, as well as my new favorite band @formidableveg on the new @TeamHumanShow. 
https://t.co/lK91i5o5tj"
1,rushkoff,2023-02-05 16:57:00+00:00,https://twitter.com/rushkoff/status/1622278127413075968,"""Creatives don’t wait for the right moment to be creative, they create the right moment by spending time on their craft."" @HalaNAlyan on Medium: 
https://t.co/GBLnWv9L2D"
2,rushkoff,2023-02-05 16:44:05+00:00,https://twitter.com/rushkoff/status/1622274874466095105,"@michaelmhughes That means a whole lot to me, Michael. :)"
3,rushkoff,2023-02-02 21:16:41+00:00,https://twitter.com/rushkoff/status/1621256315698913280,"If you're freaked out about Artificial Intelligence and the replacement of human labor, values, and meaning systems, please take a look at (or listen to) my 2018 book about what was coming and how to respond, Team Human. 

https://t.co/lrj1lBa4GH"
4,rushkoff,2023-02-02 19:30:39+00:00,https://twitter.com/rushkoff/status/1621229630744104962,"I insisted I had not done anything. That it was pure coincidence. An old man put his forehead against my forehead, his nose against my nose, smiled, and said “Coincidence is the skill of a great storyteller.”

https://t.co/OFzsJslhhO"
5,rushkoff,2023-01-28 19:18:09+00:00,https://twitter.com/rushkoff/status/1619414544597790720,@sdavis2045 I'm not *promoting* anything but critical thinking.
6,rushkoff,2023-01-27 23:43:11+00:00,https://twitter.com/rushkoff/status/1619118854319505408,"Our kids are more aware of the social cues and memetic layering in digital spaces than we are. Rather  try to insulate them from what we fear about digital culture, we need to retrieve and share with them what we value most about critical thinking.
https://t.co/rzWtqO3rHJ"
7,rushkoff,2023-01-19 22:16:50+00:00,https://twitter.com/rushkoff/status/1616198022773227521,Culture Journalist is the best. I'm so proud to be on their radar.
8,rushkoff,2023-01-19 22:15:45+00:00,https://twitter.com/rushkoff/status/1616197749719896075,and a picture of me 17 years ago...
9,rushkoff,2023-01-19 22:15:28+00:00,https://twitter.com/rushkoff/status/1616197677183602692,Shareable's podcast! https://t.co/aXCcnkmwLg
10,rushkoff,2023-01-19 14:24:57+00:00,https://twitter.com/rushkoff/status/1616079267401715714,https://t.co/CvZPKKIQoT
11,rushkoff,2023-01-11 15:09:23+00:00,https://twitter.com/rushkoff/status/1613191345824309249,"Librarians rule. Vermont's @jessamyn  West on libraries, community technology, and why local beats scale. (She also owns Metafilter.)
https://t.co/ooohxDBLmh"
12,rushkoff,2023-01-04 14:20:16+00:00,https://twitter.com/rushkoff/status/1610642272235970560,"Oh shoot. Are we praying to the wrong gods? @MitchHorowitz brings the @TeamHumanShow to some uncertain places...
https://t.co/yRzs0KOn3v"
13,rushkoff,2023-01-04 14:18:06+00:00,https://twitter.com/rushkoff/status/1610641726309339138,"""The fact that a person can be best manipulated by thinking of them in mechanistic and behavioural terms does not mean that they are thereby essentially programmable machines. Behaviorism and materialism are not facts but assumptions.""  https://t.co/X34YSrvB2Q"
14,rushkoff,2023-01-04 14:16:21+00:00,https://twitter.com/rushkoff/status/1610641287748767745,"""If the justification for the existence of the über-rich is that we are slowly progressing toward an earthly utopia, then why do so many of these billionaires seem so keen to escape?"" New review of Survival of the Richest by @garethsouthwell https://t.co/X34YSrvB2Q"
