,0,1,2,3
0,dojau,2022-12-08 09:23:35+00:00,https://twitter.com/dojau/status/1600783134936551425,@hunome @rossdawson Well said @rossdawson and thank you for invites to events back in Sydney. One day :)
1,dojau,2022-11-15 07:56:44+00:00,https://twitter.com/dojau/status/1592426357296095232,Connected writing brings another layer of learning. What trains of thought today? Connected thinking/ writing with others brings one more layer.
2,dojau,2022-11-08 06:40:48+00:00,https://twitter.com/dojau/status/1589870533671530496,"Great study into what makes a person a genius. Curiosity is one element. So is viewing things from many angles. Come and flex your genius and perceptiveness muscle with us. 

#hunome #multidimensional #sharedunderstanding #curiosity #toolsforthinking https://t.co/cm1UksEi23?"
3,dojau,2022-11-07 10:23:42+00:00,https://twitter.com/dojau/status/1589564240846807041,"Thinker - looking for a social network that builds, no fleeting messages. Here your thinking grows, perspectives are seen and understanding has impact? #hunome @hunome"
4,dojau,2022-11-07 10:12:32+00:00,https://twitter.com/dojau/status/1589561429694337024,"Things make no sense when simple slogans replace understanding of complex issues. We repeat the simple as it is easy. Then become jaded and apathetic as it is all too late to act. Hope goes. The vibes of this vicious circle are there, now what? It is everyone's responsibility."
5,dojau,2022-11-02 13:35:43+00:00,https://twitter.com/dojau/status/1587800626796298240,"Civility, the approach to be truly heard. Have something to say? Say it well and be civil. The rest is a waste of time and at worst dangerous. This here is a worthy cause: https://t.co/UdDRaiHHc1 
@GlobalCivility 

#onehumanfamily #makesense #hunome"
6,dojau,2022-11-01 10:07:03+00:00,https://twitter.com/dojau/status/1587385724877344768,"Including the young in designing the future. @BertelsmannFdn and @HumanityAction created worthy animations to understand how young in Germany and the US see our global challenges. Neat!

https://t.co/R7z3usqTM5

#sharedunderstanding #shapingthefuture #hunome"
7,dojau,2022-09-13 14:16:56+00:00,https://twitter.com/dojau/status/1569691604008697858,@hunome @ptamesis We all have experiences that might just be the eye opener! We alone with our experience are not yet ’research’ but in the aggregate it matters!
8,dojau,2022-09-05 08:35:35+00:00,https://twitter.com/dojau/status/1566706596293607425,Brilliant: Power of connection - curiosity styles and history and more in a book by sisters who combined their multidisciplinary perspectives. Thank you Penny Zurn and @daniSBassett (Hunome is built for these behaviors) https://t.co/5P8qTWciWu
9,dojau,2022-09-02 10:08:21+00:00,https://twitter.com/dojau/status/1565642780248051714,@NASAEarth humanity
10,dojau,2022-08-02 09:35:06+00:00,https://twitter.com/dojau/status/1554400387037265920,You a serious startup tech lead? Check this out! https://t.co/lYAf0mB1nv
11,dojau,2022-07-20 10:06:04+00:00,https://twitter.com/dojau/status/1549697138728247297,"Building an understanding on the impact covid has had and what weaknesses it unearthed in different societies. Would love to hear your thoughts and observations! You can help build by adding here: https://t.co/h8CySZ64YH

#covid #makesense #societalweaknesses #understanding"
12,dojau,2022-05-15 15:58:09+00:00,https://twitter.com/dojau/status/1525868143612153856,@YouMiiToo Indeed! Make something out of your efforts online
13,dojau,2022-03-21 12:42:41+00:00,https://twitter.com/dojau/status/1505887622559903746,History casts long shadows in the minds of injured parties who do not stop to think of the future build for the many but rather history mending to that historical position. Very sad.
14,dojau,2022-02-23 08:55:01+00:00,https://twitter.com/dojau/status/1496408242779561989,"Our workshop at #MozFest on ‘Using perspectives to tackle #misinformation’ is approaching fast, it’s important. It’s hard to know what’s true to combat misinformation when information is scattered.

At 13:00 (UTC+1) on March 7th. https://t.co/44V2GZ6Abb
#human-aware"
15,dojau,2022-02-09 10:10:01+00:00,https://twitter.com/dojau/status/1491353688459423746,"We, Hunome team, will host an event at MozFest 2022. Very much looking forward to building multidimensional understanding together with you on how we tackle misinformation.
https://t.co/YUWbpJSygy 

Our workshop is on March 7th 2022. Do register at MozFest to join us."
16,dojau,2022-02-08 11:38:35+00:00,https://twitter.com/dojau/status/1491013587346800641,"We are really bad with slowly moving crisis. And we do not spend enough time with unintended consequences. Euphoria of  the new takes over. This article gives a fundamental business design for positive AI.

https://t.co/Cd67mG6R1Z

Thank you @fchollet"
17,dojau,2022-02-02 08:10:05+00:00,https://twitter.com/dojau/status/1488786789162786818,This article made me think of the old marshmallow experiment. Did you gobble up your candy without waiting for the bigger reward? https://t.co/XUPdqeC0Iz.
18,dojau,2022-02-02 08:05:16+00:00,https://twitter.com/dojau/status/1488785578485243905,@hunome Add your view to build shared understanding.
19,dojau,2022-02-02 08:04:26+00:00,https://twitter.com/dojau/status/1488785367507652610,@hunome @cmioffice What the world needs now. Gone absolutely stark raving mad out there. We need to ask why the aggression.
20,dojau,2022-02-02 07:58:56+00:00,https://twitter.com/dojau/status/1488783982670065665,"Great article: Do you see your future self vividly? Is it akin to you now but with some explained change? Or is your future self some manufactured vision board full of things you are not even all that interested in in a few years time? 

https://t.co/3bhlcPS8Ko"
21,dojau,2022-01-26 16:35:03+00:00,https://twitter.com/dojau/status/1486377152102735876,"At #Slush2021 we met with many wonderful startups. Here a few positive vibe ones - vote with feet:
#Hormona - https://t.co/Z1pPCFRGPy (female focus)
#Startuprefugees - https://t.co/DUJf2ngGAX (facilitating new founders)
#Commu - https://t.co/c1qY2q8hhl (help facilitator) https://t.co/wHH6pMuspK"
22,dojau,2022-01-26 16:30:50+00:00,https://twitter.com/dojau/status/1486376091669475343,"There are no passengers on spaceship earth. We are all crew.
—Marshall McLuhan"
23,dojau,2022-01-26 08:44:42+00:00,https://twitter.com/dojau/status/1486258787589640192,@hunome Wonderful article. Thank you @mrianleslie - this fundamental insight about the way curiosity works translates to speeding up innovation with assisted serendipity at Hunome.
24,dojau,2022-01-25 08:15:03+00:00,https://twitter.com/dojau/status/1485888934747979779,"Wisdom from many disciplines ""Looking into the past we can understand the future... Humanities like study of history are part of the branch of research that concentrate on understanding, what it means to be human and how we might best get along with each other.""
@heikkilätuomas https://t.co/K5zLmzic0W"
25,dojau,2022-01-24 10:14:56+00:00,https://twitter.com/dojau/status/1485556716876050436,"Wisdom from many walks of life: ""Our ability to turn data into meaningful information - by what is often colloquially referred to as connecting the dots - appears to have stalled. ... our sense making ability might be diminishing.
 @Richard_Hames https://t.co/0cEBIczGd9 https://t.co/IgIDqknYjn"
26,dojau,2022-01-13 11:03:59+00:00,https://twitter.com/dojau/status/1481582796665765888,"You can register now. We make it easier for you to be the hero in the room or bring perceptiveness to a dinner conversation :)
#startups #register #humanity #perception #insights"
