,0,1,2,3
0,dunagan23,2023-02-01 00:03:49+00:00,https://twitter.com/dunagan23/status/1620573598019895296,@BunkyBama @KaylaChowShow impressive!
1,dunagan23,2023-01-31 23:14:14+00:00,https://twitter.com/dunagan23/status/1620561122410782720,@dylanhendricks
2,dunagan23,2023-01-05 21:27:47+00:00,https://twitter.com/dunagan23/status/1611112248612626433,"McCarthy agrees to using a gun instead of a gavel, and still no movement"
3,dunagan23,2023-01-03 22:04:07+00:00,https://twitter.com/dunagan23/status/1610396613788274695,🤙
4,dunagan23,2022-12-20 19:47:18+00:00,https://twitter.com/dunagan23/status/1605288752380891160,@BryanAlexander @doctorow one year until Mickey Mouse. 1 year and 1 month until Mickey Mouse slasher film.
5,dunagan23,2022-12-18 23:51:20+00:00,https://twitter.com/dunagan23/status/1604625390114410496,El…moooo https://t.co/jnMixuWgfq
6,dunagan23,2022-12-14 00:14:04+00:00,https://twitter.com/dunagan23/status/1602819172953735169,"@JaceDeloney Walking distance to Cindies, so...there's that."
7,dunagan23,2022-12-08 03:22:51+00:00,https://twitter.com/dunagan23/status/1600692356633673728,@JimmySW who's raging? and who is the machine?
8,dunagan23,2022-12-05 22:26:36+00:00,https://twitter.com/dunagan23/status/1599893026918518784,@Scott_Matter we're all waiting anxiously to see which way ChatGPT goes...
9,dunagan23,2022-12-05 22:11:12+00:00,https://twitter.com/dunagan23/status/1599889149473230851,Punk Preamble https://t.co/WsvKDjW6sK
10,dunagan23,2022-12-05 14:25:13+00:00,https://twitter.com/dunagan23/status/1599771880239419392,@lauranissen @SWFuturesLab Looks exciting! Congrats all!
11,dunagan23,2022-12-03 02:35:48+00:00,https://twitter.com/dunagan23/status/1598868573317128192,@walkerlukens Let’s fun!
12,dunagan23,2022-11-30 01:21:35+00:00,https://twitter.com/dunagan23/status/1597762734078464001,@tigermountainbk @jackpinesocial Goes without saying
13,dunagan23,2022-11-29 22:20:28+00:00,https://twitter.com/dunagan23/status/1597717153066930176,"C'mon, I wasn't even AT your house this Thanksgiving!"
14,dunagan23,2022-11-28 23:43:48+00:00,https://twitter.com/dunagan23/status/1597375740366192640,Agree. Taking a break. We’ll always have the Kick Six. https://t.co/0KfTsKfiGY
15,dunagan23,2022-11-28 23:22:52+00:00,https://twitter.com/dunagan23/status/1597370471368261633,Welcome to year 3 of the lost decade. It sure is expensive to sell one’s soul. From Harsin catatonia to the rebirth of AU love with Cadillac was beautiful. To drive that love into a moral cesspool is heartbreaking. All in 6 weeks.
16,dunagan23,2022-11-28 11:02:44+00:00,https://twitter.com/dunagan23/status/1597184209348546561,"What percentage of the Jewish vote should go to Nick Fuentes or Kanye West? Your silence is deafening, and cowardly. Not befitting an Auburn man, or any man for that matter. I hope you reconsider your position."
17,dunagan23,2022-11-28 10:17:18+00:00,https://twitter.com/dunagan23/status/1597172775386771457,Meatless cheeseburger footprint @cascio
18,dunagan23,2022-11-18 04:02:17+00:00,https://twitter.com/dunagan23/status/1593454520654331905,This is the Mean-Joe-Green-throwing-the-towel-to-the-kid of “so long” twitter posts.
19,dunagan23,2022-11-16 15:42:18+00:00,https://twitter.com/dunagan23/status/1592905911513022465,"You understand everything, godfather."
20,dunagan23,2022-11-16 15:01:47+00:00,https://twitter.com/dunagan23/status/1592895712211382272,@jacquesbarcia @j_camachor @CarlotaPrzPerez @EspacioFTef
21,dunagan23,2022-11-14 13:49:57+00:00,https://twitter.com/dunagan23/status/1592152860418007042,@dylanhendricks
22,dunagan23,2022-11-03 18:17:45+00:00,https://twitter.com/dunagan23/status/1588233987713007617,Rome wasn’t destroyed in a day.
23,dunagan23,2022-11-03 17:47:53+00:00,https://twitter.com/dunagan23/status/1588226473638461443,#civicmuscle @ilanalipsett @NDI @mayorcabaldon @m_older @throntv
24,dunagan23,2022-10-25 20:34:37+00:00,https://twitter.com/dunagan23/status/1585006942548029441,I voted surly.
25,dunagan23,2022-10-25 15:50:56+00:00,https://twitter.com/dunagan23/status/1584935548674019328,"#fixthefuture No more handshakes, unless you are carrying arms, then you must shake hands"
26,dunagan23,2022-10-24 20:56:21+00:00,https://twitter.com/dunagan23/status/1584650024050651136,Nostalgularity
27,dunagan23,2022-10-12 05:00:25+00:00,https://twitter.com/dunagan23/status/1580060799262814210,"Likewise, Kristin. It was a pleasure."
28,dunagan23,2022-10-05 19:40:09+00:00,https://twitter.com/dunagan23/status/1577745478640443392,Careful not to the burn The Edge.
29,dunagan23,2022-10-05 14:08:38+00:00,https://twitter.com/dunagan23/status/1577662049185841153,I heard they include some mysterious whey(s). But it’s alright.
30,dunagan23,2022-10-04 17:02:13+00:00,https://twitter.com/dunagan23/status/1577343343364907008,Cc @lauranissen conference from the future?
31,dunagan23,2022-09-20 14:34:20+00:00,https://twitter.com/dunagan23/status/1572232699242487810,@tigermountainbk Not a typical Tuesday
32,dunagan23,2022-09-20 14:32:50+00:00,https://twitter.com/dunagan23/status/1572232318621712386,"@tigermountainbk Goin’ with Troll Boy, as always."
