,0,1,2,3
0,shapingtomorrow,2023-02-16 00:03:37+00:00,https://twitter.com/shapingtomorrow/status/1626009365953101826,"Totally agree, Sam. Definitely needs more far capacity fast and a huge effort on reducing false positives. Reminds me of the early days of https://t.co/64oranMrxo back in 2013. Our robot, Athena, only got things right 50 percent of…https://t.co/reXZ8Usr47 https://t.co/vn6UyIKbTw"
1,shapingtomorrow,2023-02-15 08:54:45+00:00,https://twitter.com/shapingtomorrow/status/1625780644281307138,"Great post on the dark side of GPT. Of course, there is a bright side too! Let's pray the latter wins big and fast! https://t.co/XXiyQWjiXh"
2,shapingtomorrow,2023-02-15 08:26:56+00:00,https://twitter.com/shapingtomorrow/status/1625773643807567873,https://t.co/WoWT9Wu3qx https://t.co/XXiyQWjiXh
3,shapingtomorrow,2023-02-15 08:15:39+00:00,https://twitter.com/shapingtomorrow/status/1625770802481094658,https://t.co/DXGdOLtcFC https://t.co/8Ky3xfqUaD
4,shapingtomorrow,2023-02-15 02:53:59+00:00,https://twitter.com/shapingtomorrow/status/1625689852564979716,"I do, Alan. Biut, im also the family's serial genealogist and love history. "" One, who doesnt read history is doomed to relive it""  and ""One who drives their car through the rear view mirror is doomed to never see the future!"" https://t.co/6abm2A2y2v"
5,shapingtomorrow,2023-02-14 04:59:13+00:00,https://twitter.com/shapingtomorrow/status/1625358980196229121,"The upgraded version of last week's 'Critical Questions on GPT"" unedited test is now available in scenario form and edited by me. Hope you find it useful. #gpt3 #strategy # #future #scenarios #change #foresight https://t.co/szzYgVnzbh"
6,shapingtomorrow,2023-02-10 06:10:50+00:00,https://twitter.com/shapingtomorrow/status/1623927451456790528,"This is my first attempt to explain the Future of GPT, with the help of ChatGPT, Shaping Tomorrow, and https://t.co/5zGJ8Yhdy7. 

The video took just 90 minutes to assemble with the most work on choosing the images (60 minutes). Chat GPT, produced the tex…https://t.co/DBLcwYnX5V"
7,shapingtomorrow,2023-01-31 05:26:10+00:00,https://twitter.com/shapingtomorrow/status/1620292334599704577,@TerribleMaps Not true!
8,shapingtomorrow,2022-11-18 08:41:40+00:00,https://twitter.com/shapingtomorrow/status/1593524828455276546,@elonmusk It did sink in what a dreadful boss you are. I'm leaving Twitter as a user for good like many other good people. You should be ashamed of yourself.
9,shapingtomorrow,2022-10-21 08:24:47+00:00,https://twitter.com/shapingtomorrow/status/1583373721909137408,I think this is beyond Liz Truss's cognition.If it had of been she would have stopped and paused before making tragic mistakes. https://t.co/BexGDBFhzf
10,shapingtomorrow,2022-10-07 05:22:06+00:00,https://twitter.com/shapingtomorrow/status/1578254317626482690,@PolyVirtue @rybar_en What nonsense
11,shapingtomorrow,2022-10-05 11:09:14+00:00,https://twitter.com/shapingtomorrow/status/1577616900263215107,@discordine @rybar_en Actually Russian is easy to learn. Far less complex than English. There are only 20 characters instead of 26 and they translate directly to the English alphabet.
12,shapingtomorrow,2022-10-02 11:22:00+00:00,https://twitter.com/shapingtomorrow/status/1576532951675768832,"@elonmusk Elon, I have a revolutionary idea for your new robots and to help reduce wars. Can we talk?"
13,shapingtomorrow,2022-10-02 10:20:44+00:00,https://twitter.com/shapingtomorrow/status/1576517532306927616,"Let Zelenakyy speak. He is one of yours! 
Sean Penn Vows to ‘Smelt’ Oscars If Zelenskyy Wasn’t Invited to Speak – Variety https://t.co/1Fhn2YWVjW"
14,shapingtomorrow,2022-10-02 08:17:22+00:00,https://twitter.com/shapingtomorrow/status/1576486487017000960,@pnxb1019 @Mksback67 @nexta_tv @TygodnikWPROST No one!
15,shapingtomorrow,2022-10-01 11:50:41+00:00,https://twitter.com/shapingtomorrow/status/1576177781515456512,"Expert mobile engineer partner wanted for new form of battlefield aid.

I'm looking for a entrepreneurial, equal partner to develop an as yet undeveloped market in the mobile military space. Also has potential uses in crime and health markets. Has the pot…https://t.co/7tAdrpP42X"
16,shapingtomorrow,2022-08-04 04:21:58+00:00,https://twitter.com/shapingtomorrow/status/1555046361753686016,"The best executives i was honored to work with, learn from, and why.

Les Biller: Citibank/BofA - kindness, humility, openness, communications, intelligence, find a consigliere to rely on from the outset trusted by the staff, work with, not against the un…https://t.co/ihxnRkbZ9M"
17,shapingtomorrow,2022-06-10 14:01:52+00:00,https://twitter.com/shapingtomorrow/status/1535260965209505794,@SonyaSceats No they are consumed by an anti-immigration policy for anyone not British. This dates back to Cameron'ssp policy of reducing immigration to the the tens of thousands and ootsourcing the process from the Home Office. Makes me ashamed of my own country.
18,shapingtomorrow,2022-06-10 04:35:16+00:00,https://twitter.com/shapingtomorrow/status/1535118375596306432,@NicholasTyrone No it doesnt! Innovation will be stifled.
19,shapingtomorrow,2022-06-10 04:33:01+00:00,https://twitter.com/shapingtomorrow/status/1535117807813287940,@RhonddaBryant Innovation will be stifled with more EU interference. Pure and simple.
