,0,1,2,3
0,technoshaman,2023-02-16 13:46:56+00:00,https://twitter.com/technoshaman/status/1626216561655844866,@zoescaman @keels223 What will be the best superstructures to avoid the balkanisation of the Web?
1,technoshaman,2023-02-15 09:22:56+00:00,https://twitter.com/technoshaman/status/1625787734622195713,"""We need wisdom and a capacity for transformative self-correction, i.e. self-transcendence, MORE THAN EVER before."" — @vervaeke_john
""Just when we need them MORE THAN EVER, the wise ones of the past [thanks 2 #ChatGPT] are alive again, ready to advise us."" https://t.co/CjKGGmaHOd"
2,technoshaman,2023-02-14 15:12:55+00:00,https://twitter.com/technoshaman/status/1625513423474683904,"@unipuff_ @Michelle4EDU @cryptowanderer @ottoscharmer1 @flaviagoma @RicRaftis @keels223 @JessicaZartler @paulkingsf I didn't know about Latour's Actor-Network Theory until now. Thanks, @unipuff_ ! 

Do you have some ideas about how it might be applied in practice to our research on Collective Hybrid Intelligence (CHI) in a Network of Human &amp; AI Agents, mentioned here https://t.co/CjKGGmaHOd ?"
3,technoshaman,2023-02-14 14:18:16+00:00,https://twitter.com/technoshaman/status/1625499672055009281,"2/2 Some of the guidelines in @IasonGabriel's &amp; @Dr_Atoosa's paper could also be relevant to humans interacting with AI. However, the latter would also require the collaboration of AI scientists &amp; sociologists. 

That's what I made a provocation for here: https://t.co/CjKGGmbfDL"
4,technoshaman,2023-02-14 14:18:16+00:00,https://twitter.com/technoshaman/status/1625499669244813314,"1/2 @IasonGabriel wrote ""the one person–one agent model of AI alignment is far too simple.""
That is why my research is focused on Collective Hybrid Intelligence (CHI) in a NETWORK of Human &amp; AI Agents.

Iason provides gr8 guidance to designing AI agents for ideal conversations.🧵"
5,technoshaman,2023-02-14 13:44:51+00:00,https://twitter.com/technoshaman/status/1625491261443702785,"Democratic economic planning:
From the middle of the 20th century to the present, few economic models have been developed that are not based on market allocation or centralized planning
https://t.co/ZbhEHyy9g0"
6,technoshaman,2023-02-14 13:39:00+00:00,https://twitter.com/technoshaman/status/1625489789645631496,@mbauwens @actionforesight
7,technoshaman,2023-02-14 13:29:18+00:00,https://twitter.com/technoshaman/status/1625487349663817728,"@IasonGabriel @Dr_Atoosa Just read your brilliant paper. If ""common ground is the body of information that is presupposed or shared by the parties in the discourse, about the discourse itself, and about the situation of the participants in that discourse,"" 

then what should the human know about the AI?"
8,technoshaman,2023-02-14 12:56:32+00:00,https://twitter.com/technoshaman/status/1625479103561322499,"“If whatever we give our attention grows, why not look at what can happen when we bring closer our preferred future by living in2 it? Why not start it with building our collective intelligence by your posting your reflections and questions below?https://t.co/hzT7G8kyHf 
@keels223"
9,technoshaman,2023-02-14 12:49:21+00:00,https://twitter.com/technoshaman/status/1625477293907779585,"“Given that our distributed and coordinated mind has a better chance to grasp what on Earth is really happening than any individual, 

we can say that from an EVOLUTIONARY point of view, the individual is not the most important unit of cognition anymore.” https://t.co/SRhU5ilIqu"
