,0,1,2,3
0,wendyinfutures,2023-02-12 09:48:40+00:00,https://twitter.com/wendyinfutures/status/1624707049190830081,@jackclarkSF @threadreaderapp unroll
1,wendyinfutures,2023-02-12 09:11:16+00:00,https://twitter.com/wendyinfutures/status/1624697635310342146,“He inflicts damage in pursuit of political gain. On purpose and with abandon and with no regard for collateral harm.” That’s today’s #GOP
2,wendyinfutures,2023-02-12 08:59:19+00:00,https://twitter.com/wendyinfutures/status/1624694627348500480,@EmPittsDonahoe @threadreaderapp  unroll
3,wendyinfutures,2023-02-12 08:58:55+00:00,https://twitter.com/wendyinfutures/status/1624694528593600512,🧵 du jour on #teaching and #ChatGPT
4,wendyinfutures,2023-02-10 07:30:14+00:00,https://twitter.com/wendyinfutures/status/1623947433842556928,Huh. Didn’t see *that* on their #scenarios bingo card
5,wendyinfutures,2023-02-09 11:38:17+00:00,https://twitter.com/wendyinfutures/status/1623647471212675073,"@SjamaanN People should open doors for other people, as simple courtesy."
6,wendyinfutures,2023-02-09 10:31:37+00:00,https://twitter.com/wendyinfutures/status/1623630693086404608,"These are fun: #retrofuturism 
""Utopia is a unique project created by Azerbaijani artist Orkhan Isayev, who combines his love of art deco, cyberpunk and illustration to create retrofuturistic visions of cities from all over the world.""
https://t.co/ZQtERtC6oB"
7,wendyinfutures,2023-02-08 12:50:59+00:00,https://twitter.com/wendyinfutures/status/1623303377344921601,@SjamaanN No dishwasher.
8,wendyinfutures,2023-02-08 12:39:05+00:00,https://twitter.com/wendyinfutures/status/1623300382272151553,@HC_Richardson Obviously not.
9,wendyinfutures,2023-02-07 15:12:53+00:00,https://twitter.com/wendyinfutures/status/1622976700836458498,@AlishaBhagat @hauspa @drrosechard @bookofthefuture @akrishnan23 @kristinalford @incognitosum @CatTullyFOH @MadelineAshby @papayagirl @radha_mistry @ServaneMouazan Exactly.
10,wendyinfutures,2023-02-07 13:24:34+00:00,https://twitter.com/wendyinfutures/status/1622949443505995777,@SjamaanN Hummus? Kimchi?
11,wendyinfutures,2023-02-07 12:16:01+00:00,https://twitter.com/wendyinfutures/status/1622932190559444995,I am currently apricating. How apropos.
12,wendyinfutures,2023-02-07 12:14:14+00:00,https://twitter.com/wendyinfutures/status/1622931741059997698,@RpsAgainstTrump Utter despair for the future of our country.
13,wendyinfutures,2023-02-07 12:13:25+00:00,https://twitter.com/wendyinfutures/status/1622931538118688769,"@hauspa @drrosechard @bookofthefuture @akrishnan23 @kristinalford @AlishaBhagat @incognitosum @CatTullyFOH @MadelineAshby @papayagirl @radha_mistry @ServaneMouazan … because we’re just dancing along, getting it done and moving it forward."
14,wendyinfutures,2023-02-07 11:43:20+00:00,https://twitter.com/wendyinfutures/status/1622923965650944002,@drrosechard @bookofthefuture Check out all the award winners of the #NextGenerationFuturesPractitioners for diversity in futurists.
15,wendyinfutures,2023-02-04 20:42:26+00:00,https://twitter.com/wendyinfutures/status/1621972472797995010,@SjamaanN Tank
16,wendyinfutures,2023-02-04 18:35:21+00:00,https://twitter.com/wendyinfutures/status/1621940489023852544,"@annie_hartnett If that were a Japanese ink ainting, you’d think it was beautiful. I actually think it is beautiful - lovely flow and arc."
