,0,1,2,3
0,zephoria,2023-02-01 15:21:08+00:00,https://twitter.com/zephoria/status/1620804448762331136,"Another brilliant @cyberlyra opt-out experiment: how to escape Disneyland’s surveillance apparatus. Hint: paint your kids’ faces, give them fake names, and struggle to get food. https://t.co/VDhvQx8Rl4"
1,zephoria,2022-12-19 21:49:06+00:00,https://twitter.com/zephoria/status/1604957017067597824,"CfP: ""The Politics of Data and Quantification in the Public Sector"" &lt;-- @Liu_Chuncheng and I are hosting a session at @ASAnews as part of the SKAT section. Submit your paper by 2/22! Deets: https://t.co/C4hDZG0E84"
2,zephoria,2022-12-18 02:55:10+00:00,https://twitter.com/zephoria/status/1604309266013114368,Anyone have recommendations on how to find a homestay near Hội An? We’d love to stay with a family in a cultural exchange esque context.
3,zephoria,2022-12-13 17:32:07+00:00,https://twitter.com/zephoria/status/1602718021075832836,"Bullying is psychological, physical, or social meanness and cruelty, repeated over time, exacted by someone who holds differential power. 

Bystanders watch. Downstanders enable. WTF kind of culture are we modeling? 

""What we do in life echoes through eternity."""
4,zephoria,2022-12-05 19:11:09+00:00,https://twitter.com/zephoria/status/1599843840349081601,"@bgneumeyer Individual profiles. Including musicians, some quasi-celebrities like Paris Hilton, some ""fake"" accounts that were funny, what we would now call ""creators"" or ""influencers"", etc. Much of it was joy-inducing, some drama-filled, far less just sheer anger generating."
5,zephoria,2022-12-05 16:31:25+00:00,https://twitter.com/zephoria/status/1599803640424038400,"Is Twitter failing? What does failure look like? Right now, it's an absurdist spectacle made for Rome. Here are some reflections on past social media/org failures and what they might teach us about the current situation: https://t.co/zExYbownni https://t.co/dXac0AQ7Ro"
6,zephoria,2022-12-02 00:06:12+00:00,https://twitter.com/zephoria/status/1598468540868493312,@brandonsilverm @STS_News Indeed they are cuz their subscription model doesn’t enable a hockey stick. But they’ll burn thru that too. Cuz profitability is not enough. Hockey sticks invite creepier and creepier practices. Only thing that grows like that in nature is called cancer. And it kills the host.
7,zephoria,2022-12-01 23:48:45+00:00,https://twitter.com/zephoria/status/1598464146281857024,"@STS_News The profitability of surveillance depends on being able to sell that data. To anyone from advertisers to goons. Surveillance as guaranteed pathway to wealth is deterministic logic, oblivious to structural configurations. But determinisms are soooo ripe for frothiness."
8,zephoria,2022-12-01 23:43:36+00:00,https://twitter.com/zephoria/status/1598462852243017728,"@STS_News Because “surveillance capitalism” is so amorphous in that book, I’m not sure which variant you’re thinking of. For me, the story of Alexa is more a story of when/where ads and subscriptions are a viable business plan in a financialized ROI framework."
9,zephoria,2022-12-01 14:55:20+00:00,https://twitter.com/zephoria/status/1598329910015459328,"Wow - @MauriceWFP's reflections on how to build resilient orgs are phenomenal (as are his examinations of what makes progressive orgs a mess). For advocates and those working in civil society, I cannot recommend this essay enough: https://t.co/fcVWYFi6vD"
10,zephoria,2022-11-29 20:17:10+00:00,https://twitter.com/zephoria/status/1597686126198026242,Reminder: Microsoft Research sociotechnical internship apps due 12/2! (Postdoc apps due a week later!) These are great opportunities for advanced PhD students in the social sciences! https://t.co/JHTLsF3agS
11,zephoria,2022-11-18 05:40:20+00:00,https://twitter.com/zephoria/status/1593479196684087296,https://t.co/vLjgE4VuxX
12,zephoria,2022-11-14 17:27:17+00:00,https://twitter.com/zephoria/status/1592207552858980354,"PhD students: Want to work with @marylgray @nancybaym @TarletonG and me at @MSFTResearch on sociotechnical projects? We are hiring both interns and postdocs. For more info, see: https://t.co/XqOy6mm2TR"
13,zephoria,2022-10-27 12:42:03+00:00,https://twitter.com/zephoria/status/1585612793884966912,"@kashif_imteyaz @nancybaym @TarletonG @marylgray This means “advanced to candidacy.” In most places, this involves completing coursework, qualifying exams, and having proposed a dissertation project."
14,zephoria,2022-10-27 03:20:59+00:00,https://twitter.com/zephoria/status/1585471595165818881,@KLdivergence Omg enjoy the rabbit hole of Dunbar’s number! You’ll feel Ike you’ve truly timewarped to 2003! That was the cap on Friendster at one point!!
15,zephoria,2022-10-27 03:12:31+00:00,https://twitter.com/zephoria/status/1585469463867973632,@Thoreaus_Horse Cats are the key to all happiness.
16,zephoria,2022-10-27 03:12:02+00:00,https://twitter.com/zephoria/status/1585469340471611392,@KLdivergence ::laugh:: Long live Robin Dunbar. Do you think he’s watching and groaning?
17,zephoria,2022-10-27 03:05:28+00:00,https://twitter.com/zephoria/status/1585467689383796736,@DataGeekB Aren’t they all? Aren’t we all?
18,zephoria,2022-10-27 03:03:03+00:00,https://twitter.com/zephoria/status/1585467080475701248,The other much more serious question: will there be kittens on mastadon? Most of my social media activity has devolved into watching kitten videos…. Hmm….
19,zephoria,2022-10-27 03:00:38+00:00,https://twitter.com/zephoria/status/1585466473396305920,I’m so curious who all plans to shift to mastadon on Friday. I realized I haven’t built a new social media network in a loooooong time. I’m pondering what it would be like to start again. Fun? Hell? I can’t decide.
