Id,Date,Text
1624993347625443329,2023-02-13 04:46:19+00:00,"RT @TwitterMktg: Tonight, 84% of big game TV advertisers Tweeted about their campaigns. 

Thank you for Tweeting with us."
1624943640685731840,2023-02-13 01:28:48+00:00,"Halftime Show Super Bowl LVII
https://t.co/i7jwjvyeOJ"
1624920846166007808,2023-02-12 23:58:13+00:00,🇺🇸🇺🇸🇺🇸 Go @Eagles!!! 🇺🇸🇺🇸🇺🇸
1624898503267983360,2023-02-12 22:29:26+00:00,Starship orbital launch attempt soon! https://t.co/sjban6T4yA
1624839280270131200,2023-02-12 18:34:07+00:00,"Don’t worry, just some of my 👽 🛸 friends of mine stopping by …"
1624685050615988224,2023-02-12 08:21:15+00:00,https://t.co/2XEyK6leL0
1624660886572126209,2023-02-12 06:45:14+00:00,"Long day at Twitter HQ with eng team

Two significant problems mostly addressed:

1. Fanout service for Following feed was getting overloaded when I tweeted, resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… https://t.co/oMW54chhRz"
1624654678511452160,2023-02-12 06:20:34+00:00,RT @SpaceX: Falcon 9 launches 55 Starlink satellites to orbit https://t.co/kASyhCqrko
1624652863485149185,2023-02-12 06:13:21+00:00,"RT @BuckSexton: @elonmusk So many high IQ people recognize the press as their emotional and cultural enforcers, so they become deeply attac…"
1624637902574743552,2023-02-12 05:13:54+00:00,RT @SpaceX: Watch Falcon 9 launch 55 Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/ylTHl0fe03
1624637878235197444,2023-02-12 05:13:49+00:00,RT @SpaceX: Liftoff! https://t.co/xDVx2vFFqD
1624626672464195584,2023-02-12 04:29:17+00:00,Starship Super Heavy https://t.co/DgufvqgWCC
1624438288898744328,2023-02-11 16:00:43+00:00,Some of the smartest people I know actively believe the press … amazing
1624416353712238592,2023-02-11 14:33:33+00:00,"RT @Teslaconomics: If this doesn’t motivate you, I don’t know what does. 

33 boosters have been successfully tested and now it’s time to l…"
1624412830446534656,2023-02-11 14:19:33+00:00,This test is at ~50% throttle. Launch attempt next month will be at ~90%. https://t.co/oMrnBIiBjY
1624151226899402753,2023-02-10 21:00:02+00:00,"RT @SpaceX: Super Heavy Booster 7 completed a full duration static fire test of 31 Raptor engines, producing 7.9 million lbf of thrust (~3,…"
1624150045611401221,2023-02-10 20:55:20+00:00,https://t.co/Q1VvqV5G0i https://t.co/YjGzTgmoJv
1624093894031056898,2023-02-10 17:12:13+00:00,And making a day in the life videos https://t.co/Rfx2qJTKvp
1623863722262532097,2023-02-10 01:57:35+00:00,.
1623822130197708802,2023-02-09 23:12:19+00:00,"One day, Starship will take us to Mars https://t.co/oMrnBIiBjY"
1623793909959901184,2023-02-09 21:20:11+00:00,"Team turned off 1 engine just before start &amp; 1 stopped itself, so 31 engines fired overall.

But still enough engines to reach orbit! https://t.co/QYx3oVM4Gw"
