,user,topics,cnt
0,abhi1thakur,1,130
1,abhi1thakur,3,70
2,abhi1thakur,4,49
3,abhi1thakur,5,15
4,abhi1thakur,6,119
5,abhi1thakur,7,17
6,abhi1thakur,8,92
7,abhi1thakur,9,3
8,abhi1thakur,11,1
9,abhi1thakur,12,4
10,abhi1thakur,13,38
11,abhi1thakur,16,12
12,abhi1thakur,17,12
13,abhi1thakur,18,7
14,abhi1thakur,20,1
15,abhi1thakur,22,7
16,abhi1thakur,23,2
17,abhi1thakur,24,1
18,abhi1thakur,25,219
19,abhi1thakur,26,7
20,abhi1thakur,27,31
21,abhi1thakur,28,153
22,abhi1thakur,29,3
23,abhi1thakur,30,2
24,abhi1thakur,31,5
25,abhi1thakur,32,27
26,abhi1thakur,34,6
27,abhi1thakur,35,1
28,abhi1thakur,36,52
29,abhi1thakur,37,52
30,abhi1thakur,38,17
31,abhi1thakur,39,2
32,abhi1thakur,40,1
33,abhi1thakur,41,17
34,abhi1thakur,42,3
35,abhi1thakur,43,14
36,abhi1thakur,44,3
37,abhi1thakur,45,106
38,abhi1thakur,47,1
39,abhi1thakur,48,21
40,abhi1thakur,49,111
41,abhi1thakur,50,19
42,abhi1thakur,52,7
43,abhi1thakur,53,2
44,abhi1thakur,54,2
45,abhi1thakur,55,115
46,abhi1thakur,56,2
47,abhi1thakur,57,1
48,abhi1thakur,58,91
49,abhi1thakur,59,374
50,abhi1thakur,60,6
51,abhi1thakur,61,2
52,abhi1thakur,63,128
53,abhi1thakur,64,1
54,abhi1thakur,65,5
55,abhi1thakur,66,57
56,abhi1thakur,67,58
57,abhi1thakur,68,7
58,abhi1thakur,69,23
59,abhi1thakur,71,1
60,abhi1thakur,72,36
61,abhi1thakur,73,3
62,abhi1thakur,74,3
63,abhi1thakur,75,338
64,abhi1thakur,76,2
65,abhi1thakur,77,25
66,abhi1thakur,79,1
67,abhi1thakur,80,1
68,abhi1thakur,81,4
69,abhi1thakur,82,47
70,abhi1thakur,83,4
71,abhi1thakur,84,41
72,abhi1thakur,85,63
73,abhi1thakur,86,16
74,abhi1thakur,87,42
75,abhi1thakur,89,26
76,abhi1thakur,90,81
77,abhi1thakur,91,114
78,abhi1thakur,93,6
79,abhi1thakur,95,1
80,abhi1thakur,96,5
81,abhi1thakur,97,35
82,abhi1thakur,98,4
83,abhi1thakur,99,2
84,adamjorlen,0,5
85,adamjorlen,3,5
86,adamjorlen,4,4
87,adamjorlen,5,3
88,adamjorlen,7,5
89,adamjorlen,10,1
90,adamjorlen,12,18
91,adamjorlen,13,2
92,adamjorlen,16,9
93,adamjorlen,18,2
94,adamjorlen,19,1
95,adamjorlen,22,2
96,adamjorlen,23,1
97,adamjorlen,25,9
98,adamjorlen,26,1
99,adamjorlen,27,1
100,adamjorlen,28,3
101,adamjorlen,31,1
102,adamjorlen,36,6
103,adamjorlen,40,1
104,adamjorlen,41,5
105,adamjorlen,42,1
106,adamjorlen,50,1
107,adamjorlen,55,2
108,adamjorlen,57,8
109,adamjorlen,58,1
110,adamjorlen,59,2
111,adamjorlen,61,1
112,adamjorlen,64,2
113,adamjorlen,69,1
114,adamjorlen,72,2
115,adamjorlen,75,2
116,adamjorlen,79,1
117,adamjorlen,80,1
118,adamjorlen,81,2
119,adamjorlen,83,17
120,adamjorlen,84,9
121,adamjorlen,86,4
122,adamjorlen,89,1
123,adamjorlen,90,8
124,adamjorlen,92,1
125,adamjorlen,93,6
126,adamjorlen,94,3
127,adamjorlen,95,3
128,adamjorlen,97,2
129,adrianswinscoe,0,4
130,adrianswinscoe,1,8
131,adrianswinscoe,2,1
132,adrianswinscoe,3,17
133,adrianswinscoe,4,4
134,adrianswinscoe,5,7
